Countries,Approval Process of GE,,,,,Environmental Risk  Assessment of GE,,,,,Labeling Policies of  GE ,,,,,Membership of International Agreements ,,,,,Commercialization approval of GE,,,,,"Food safety assessment of food derived from GE


0",,,,,Traceability requirement,,,,,Marketing &Trade of GE,,,
,"Absence of  approval process




0","Mandatory 
approval process
but far from 
enforcement 


1","Man. Approval 
process adopting
the principle of
substantial equivalence

2","Man. Approval 
process adopting
the precautionary
principle

3","GM
Free 
Country



4","Absence of mandatory risk assessment 



0","Proposed risk 
assessment but 
far from 
enforcement


1","Risk 
assessment
 with exclusions


 
2","Mandatory  
Risk 
Assessment
GMO


3","GM
Free
Country



4","No 
labeling 
Policies



0","Voluntary
GM
Labeling



1","Mandatory
GM label 
 with threshold
   ≥1 %


2","Mandatory
 label with
threshold 0.9%  



3","GM
Free
Country



4","Not member of 
International 
agreement



0","Member of 
International 
Agreement but
not adhering 
to it policies 

1","Member of CODEX
 Aliment Arius 



2
","Member of 
 Cartagena 
Protocol 



3
 ","Member of both 
international
 agreements.



4","Absence of
Pre-marketing 
 


0","Proposed pre-
market 
approval but 
far from 
enforcement

1"," Mandatory pre-market 
approval
  with exclusions


2
","Mandatory 
Pre-market approval
(GMO Only Policy)

3"," GMO 
free
Country



4","Absence of mandatory  food safety assessment

0","Proposed Food 
safety 
assessment but 
far from 
enforcement

1","Food Safety  
assessment 
with exclusions  
(Case by case)


2","Mandatory
 Food safety 
Assessment
(GMO)


3","GMO
Free
Country



4","No traceability required




0

","GE traceability
 inplace but far from
 enforcement


1","Mandatory GE
traceabilty with exclusions  
(Case by case)


2","Mandatory GE
traceabilty 
No exclusions



3","GMO-Free





4","High public knowledge / 
Consumer
Acceptance 
of animal Biotech

0","Low public knowledge/
consume
 acceptance
of animal
 Biotech

4","GMO
Free
Country



8","Total Score

Min=0

Max = 36"
Afghanistan,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Albania,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Algeria,,,,3,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,7
Andorra,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Angola,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Anguilla,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
"Antigua and 
Barbuda",0,,,,,0,,,,,0,,,,,,,,3,,0,,,,,0,,,,,0,,,,,,4,,7
Argentina,,,2,,,,,2,,,0,,,,,0,,,,,,,2,,,,,2,,,0,,,,,,4,,12
Armenia,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Aruba,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Australia,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,0,,,,,,4,,16
Austria,,,,3,,,,,3,,0,,,,,,,2,,,,,,3,,,,,3,,0,,,,,,4,,18
Azerbaijan,0,,,,,0,,,,,0,,,,,,,,,4,0,,,,,0,,,,,0,,,,,,4,,8
Bahamas,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Bahrain,0,,,,,0,,,,,0,,,,,,0,,,,0,,,,,0,,,,,0,,,,,,4,,4
Bangladesh,,,2,,,,,,3,,0,,,,,,,2,,,,,,3,,,,,3,,0,,,,,,4,,17
Barbados,0,,,,,0,,,,,0,,,,,,,,3,,0,,,,,0,,,,,0,,,,,,4,,7
Belarus,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Belgium,,,,3,,,,,3,,,,,3,,0,,,,,,,,3,,,,,3,,0,,,,,,4,,19
Belize,0,,,,,0,,,,,0,,,,,,,,,4,0,,,,,0,,,,,0,,,,,,4,,8
Benin,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Bermuda,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Bolivia,0,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,,,,,4,,4
"Bosnia and 
Herzegovina",0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Botswana,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
Brazil,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,0,,,,,,4,,16
"British Indian 
Ocean Territory",0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,4,,4
